filename,chroma_stft,spectral_centroid,spectral_bandwidth,spectral_rolloff,rmse,zero_crossing_rate,name,surah,juz
001001.mp3,0.25967756,1664.314783,1597.830959,3229.054833,0.040260326,0.081708675,Husary,Al-Fateha,1
001002.mp3,0.23611893,1572.242635,1588.262961,3180.99043,0.053535257,0.066008727,Husary,Al-Fateha,1
001003.mp3,0.26227197,1629.103157,1491.163238,3087.002231,0.05018572,0.077598769,Husary,Al-Fateha,1
001004.mp3,0.23492303,1383.816164,1637.600463,3005.559045,0.040362924,0.051357864,Husary,Al-Fateha,1
001005.mp3,0.257363,1890.12842,1560.107373,3397.045898,0.06760069,0.103422619,Husary,Al-Fateha,1
001006.mp3,0.23036477,1943.247642,1624.480446,3590.661621,0.06442364,0.105078125,Husary,Al-Fateha,1
001007.mp3,0.24531788,1629.683748,1527.806184,3240.613116,0.077815376,0.077057312,Husary,Al-Fateha,1
002001.mp3,0.25870305,1694.275818,1529.458627,3279.921325,0.061345518,0.086301992,Husary,Al-Bakara,1
002002.mp3,0.24834345,1790.816394,1594.928301,3367.020798,0.05351352,0.088403275,Husary,Al-Bakara,1
002003.mp3,0.26895896,1528.11504,1543.259657,3117.749165,0.061247908,0.072338408,Husary,Al-Bakara,1
002004.mp3,0.2469145,1533.872059,1513.704125,3111.593042,0.06602422,0.074812066,Husary,Al-Bakara,1
002005.mp3,0.29094306,1468.031975,1522.472268,2989.960855,0.06786812,0.07441087,Husary,Al-Bakara,1
002006.mp3,0.303819,1551.020577,1497.279743,3110.345818,0.07372752,0.084222361,Husary,Al-Bakara,1
002007.mp3,0.28521097,1625.037239,1501.227193,3139.433451,0.0709056,0.090037498,Husary,Al-Bakara,1
002008.mp3,0.24267974,1659.280082,1455.189954,3206.619777,0.07988497,0.088095575,Husary,Al-Bakara,1
002009.mp3,0.25675672,1513.100849,1471.55896,3093.248433,0.07410403,0.076048223,Husary,Al-Bakara,1
002010.mp3,0.26556668,1387.982929,1443.978612,2921.789043,0.065197445,0.067027909,Husary,Al-Bakara,1
002011.mp3,0.25920877,1581.125297,1427.552435,3171.756612,0.06595509,0.086999989,Husary,Al-Bakara,1
002012.mp3,0.2767482,1555.518722,1461.003779,3168.030526,0.06966228,0.085404368,Husary,Al-Bakara,1
002013.mp3,0.27748883,1644.919402,1463.591031,3114.450384,0.07687593,0.093529204,Husary,Al-Bakara,1
002014.mp3,0.26764503,1480.933053,1459.641552,3000.804545,0.061697267,0.075308594,Husary,Al-Bakara,1
002015.mp3,0.29231414,1475.25127,1484.193697,3045.96946,0.068201005,0.073311703,Husary,Al-Bakara,1
002016.mp3,0.3031995,1622.629705,1502.528773,3099.259037,0.06893716,0.088466585,Husary,Al-Bakara,1
002017.mp3,0.30046907,1578.978144,1496.487589,3166.391264,0.06739289,0.083138897,Husary,Al-Bakara,1
002018.mp3,0.28006533,1373.784417,1471.427525,2967.509272,0.0652233,0.060688605,Husary,Al-Bakara,1
002019.mp3,0.27155298,1709.622984,1500.771083,3254.407038,0.068963364,0.09509163,Husary,Al-Bakara,1
002020.mp3,0.27791008,1651.615436,1491.544165,3162.131322,0.07593876,0.091986547,Husary,Al-Bakara,1
002021.mp3,0.29359534,1615.701021,1438.760427,3194.502501,0.08126852,0.091403117,Husary,Al-Bakara,1
002022.mp3,0.28527004,1759.20117,1507.789128,3312.563606,0.09221923,0.106835328,Husary,Al-Bakara,1
002023.mp3,0.26929832,1643.947821,1527.395163,3185.988058,0.06646874,0.085840888,Husary,Al-Bakara,1
002024.mp3,0.27252075,1701.216827,1468.210962,3228.656621,0.075782664,0.096413736,Husary,Al-Bakara,1
002025.mp3,0.27800903,1698.258689,1474.791553,3181.470318,0.08066054,0.098456175,Husary,Al-Bakara,1
002026.mp3,0.27634448,1768.609049,1455.163466,3249.108549,0.08774904,0.107328315,Husary,Al-Bakara,1
002027.mp3,0.28414282,1597.079227,1528.078296,3106.132996,0.07926619,0.082984915,Husary,Al-Bakara,1
002028.mp3,0.2809041,1596.102452,1493.536739,3112.969043,0.07067586,0.085032031,Husary,Al-Bakara,1
002029.mp3,0.29097348,1847.166605,1507.464782,3377.269079,0.08870171,0.115197286,Husary,Al-Bakara,1
002030.mp3,0.28676698,1682.71941,1510.1906,3133.242823,0.07464199,0.093005962,Husary,Al-Bakara,1
002031.mp3,0.2868542,1872.771211,1483.251025,3344.228081,0.09788347,0.118896484,Husary,Al-Bakara,1
002032.mp3,0.2741555,1774.212608,1541.015202,3240.865031,0.07961698,0.095254723,Husary,Al-Bakara,1
002033.mp3,0.29194316,1788.170962,1511.651618,3267.357008,0.082606494,0.1081791,Husary,Al-Bakara,1
002034.mp3,0.29458943,1998.807453,1504.050983,3479.773207,0.09662478,0.13539317,Husary,Al-Bakara,1
002035.mp3,0.27059266,1797.32102,1508.945347,3319.552781,0.09125292,0.106854777,Husary,Al-Bakara,1
002036.mp3,0.28853312,1722.145522,1490.980501,3205.592142,0.07891673,0.101647942,Husary,Al-Bakara,1
